index,x,y
1,1284.405914,463.870296
2,1162.705645,593.059812
3,1158.024866,418.934812
4,857.518817,562.166667
5,772.328629,343.106183
6,725.520833,302.851478
7,574.799731,448.891801
8,464.333333,377.743952
9,205.954301,315.021505
10,920.241263,427.360215
